Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","65689","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01343","Apricots","2021","2021","1000 USD","6286","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0115","Barley","2021","2021","1000 USD","4782","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2021","2021","1000 USD","52829","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01212","Cabbages","2021","2021","1000 USD","21931","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2021","2021","1000 USD","24980","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2021","2021","1000 USD","4604","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2021","2021","1000 USD","7507","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2021","2021","1000 USD","32086","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01373","Chestnuts, in shell","2021","2021","1000 USD","11501","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 USD","61436","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01232","Cucumbers and gherkins","2021","2021","1000 USD","63305","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01314","Dates","2021","2021","1000 USD","9412","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01233","Eggplants (aubergines)","2021","2021","1000 USD","31139","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01315","Figs","2021","2021","1000 USD","29136","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01330","Grapes","2021","2021","1000 USD","144900","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01252","Green garlic","2021","2021","1000 USD","42995","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 USD","213297","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01254","Leeks and other alliaceous vegetables","2021","2021","1000 USD","17589","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01322","Lemons and limes","2021","2021","1000 USD","3569","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01214","Lettuce and chicory","2021","2021","1000 USD","19241","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","147846","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","02910","Natural honey","2021","2021","1000 USD","65543","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0117","Oats","2021","2021","1000 USD","13620","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01450","Olives","2021","2021","1000 USD","134769","E","Estimated value"
